t1_pts|t2_pts|t1_result|t2_result|box_type|mp|t1_fgm|t1_fga|t1_fg_pct|t1_2pm|t1_2pa|t1_2p_pct|t1_3pm|t1_3pa|t1_3p_pct|t1_ftm|t1_fta|t1_ft_pct|t1_oreb|t1_dreb|t1_reb|t1_ast|t1_tov|t1_stl|t1_blk|t1_pf|t2_fgm|t2_fga|t2_fg_pct|t2_2pm|t2_2pa|t2_2p_pct|t2_3pm|t2_3pa|t2_3p_pct|t2_ftm|t2_fta|t2_ft_pct|t2_oreb|t2_dreb|t2_reb|t2_ast|t2_tov|t2_stl|t2_blk|t2_pf|pd_box|pt_box|t1_poss_cnt|t1_poss_sec|t1_poss_sdp|t1_fga_poss_prop|t1_2pa_poss_prop|t1_3pa_poss_prop|t1_fta_poss_prop|t1_fta_fga_rto|t1_efg_pct|t1_ts_pct|t1_oreb_reb_pct|t1_dreb_reb_pct|t1_tov_poss_pct|t1_pf_poss_pct|t2_poss_cnt|t2_poss_sec|t2_poss_sdp|t2_fga_poss_prop|t2_2pa_poss_prop|t2_3pa_poss_prop|t2_fta_poss_prop|t2_fta_fga_rto|t2_efg_pct|t2_ts_pct|t2_oreb_reb_pct|t2_dreb_reb_pct|t2_tov_poss_pct|t2_pf_poss_pct|pd_poss|pt_poss|uuid|league|date|team1|team2|season|g_type|t1_loc|t2_loc|t1_sea_g_played|t1_sea_g_played_h|t1_sea_g_played_a|t2_sea_g_played|t2_sea_g_played_h|t2_sea_g_played_a|t1_b2b|t2_b2b
121|109|1|-1|FT|48|42|84|0.5|23|47|0.4893617021276596|19|37|0.5135135135135135|18|22|0.8181818181818182|6|33|39|31|14|9|8|20|43|93|0.4623655913978494|31|60|0.5166666666666667|12|33|0.3636363636363637|11|15|0.7333333333333333|11|35|46|32|13|7|8|21|-12|230|104.0|1532.0|14.730769230769232|0.8076923076923077|0.4519230769230769|0.3557692307692308|0.21153846153846154|0.2619047619047619|0.6130952380952381|0.6809995497523638|0.14634146341463414|0.75|0.1346153846153846|0.19230769230769232|104.0|1348.0|12.961538461538463|0.8942307692307693|0.5769230769230769|0.3173076923076923|0.14423076923076922|0.16129032258064516|0.5268817204301075|0.5659397715472482|0.25|0.8536585365853658|0.125|0.20192307692307693|-0.1153846153846154|1.1057692307692308|7726|NBA|2019-04-01|TOR|ORL|201819|2|Home|Away|78|40|38|78|39|39|0|0
133|113|1|-1|FT|48|52|89|0.5842696629213483|36|57|0.631578947368421|16|32|0.5|13|17|0.7647058823529411|6|35|41|31|7|7|2|19|44|90|0.4888888888888889|32|55|0.5818181818181818|12|35|0.3428571428571429|13|17|0.7647058823529411|9|30|39|30|10|6|1|15|-20|246|105.0|1367.0|13.01904761904762|0.8476190476190476|0.5428571428571428|0.3047619047619048|0.1619047619047619|0.19101123595505615|0.6741573033707865|0.7170584429588096|0.16666666666666666|0.7954545454545454|0.06666666666666668|0.18095238095238092|106.0|1513.0|14.273584905660375|0.8490566037735849|0.5188679245283019|0.330188679245283|0.16037735849056606|0.18888888888888888|0.5555555555555556|0.60273095796885|0.20454545454545456|0.8333333333333334|0.09433962264150944|0.14150943396226415|-0.1895734597156398|1.1658767772511849|8279|NBA|2019-12-16|TOR|CLE|201920|2|Home|Away|26|14|12|27|13|14|0|0
154|141|1|-1|FT|48|63|103|0.6116504854368932|54|81|0.6666666666666666|9|22|0.4090909090909091|19|24|0.7916666666666666|9|35|44|50|16|10|7|19|53|107|0.4953271028037383|39|80|0.4875|14|27|0.5185185185185185|21|25|0.84|14|31|45|28|17|8|6|17|-13|295|117.0|1385.0|11.837606837606838|0.8803418803418803|0.6923076923076923|0.188034188034188|0.2051282051282051|0.233009708737864|0.6553398058252428|0.7111193202807536|0.225|0.7142857142857143|0.1367521367521367|0.1623931623931624|119.0|1495.0|12.563025210084032|0.8991596638655462|0.6722689075630253|0.226890756302521|0.2100840336134453|0.2336448598130841|0.5607476635514018|0.6266666666666667|0.2857142857142857|0.775|0.1428571428571428|0.1428571428571428|-0.1101694915254237|1.25|9993|NBA|2021-05-03|WAS|IND|202021|2|Home|Away|65|34|31|64|30|34|0|0
120|116|1|-1|FT|48|36|91|0.3956043956043956|15|30|0.5|21|61|0.3442622950819672|27|31|0.8709677419354839|6|30|36|22|9|15|3|24|45|92|0.4891304347826087|36|57|0.631578947368421|9|35|0.2571428571428571|17|23|0.7391304347826086|17|48|65|21|22|6|6|23|-4|236|110.0|1477.0|13.427272727272728|0.8272727272727273|0.2727272727272727|0.5545454545454546|0.2818181818181818|0.3406593406593407|0.510989010989011|0.6133714986710285|0.1111111111111111|0.6382978723404256|0.08181818181818183|0.21818181818181814|107.0|1403.0|13.11214953271028|0.8598130841121495|0.5327102803738317|0.3271028037383177|0.21495327102803735|0.25|0.5380434782608695|0.5975685143210385|0.3617021276595745|0.8888888888888888|0.20560747663551399|0.21495327102803735|-0.036866359447004615|1.087557603686636|8866|NBA|2020-08-02|HOU|MIL|201920|2|Home|Away|66|33|33|67|32|35|0|0
96|102|-1|1|FT|48|36|77|0.4675324675324675|26|52|0.5|10|25|0.4|14|15|0.9333333333333332|3|36|39|21|15|8|2|15|41|90|0.4555555555555555|30|58|0.5172413793103449|11|32|0.34375|9|10|0.9|9|31|40|30|12|11|8|15|6|198|104.0|1400.0|13.461538461538462|0.7403846153846154|0.5|0.2403846153846154|0.1442307692307692|0.1948051948051948|0.5324675324675324|0.5977584059775841|0.088235294117647|0.8|0.1442307692307692|0.1442307692307692|105.0|1480.0|14.095238095238097|0.8571428571428571|0.5523809523809524|0.3047619047619048|0.0952380952380952|0.1111111111111111|0.5166666666666667|0.5531453362255965|0.2|0.9117647058823528|0.1142857142857142|0.1428571428571428|0.0574162679425837|0.9473684210526315|9873|NBA|2021-04-19|BOS|CHI|202021|2|Home|Away|58|29|29|57|29|28|0|0
91|101|-1|1|FT|48|30|86|0.3488372093023256|19|56|0.3392857142857143|11|30|0.36666666666666653|20|28|0.7142857142857143|14|34|48|11|20|12|5|20|39|82|0.475609756097561|30|54|0.5555555555555556|9|28|0.32142857142857145|14|21|0.6666666666666666|8|40|48|17|19|10|6|25|10|192|104.0|1325.0|12.740384615384615|0.8269230769230769|0.5384615384615384|0.28846153846153844|0.2692307692307692|0.32558139534883723|0.4127906976744186|0.4937065972222223|0.25925925925925924|0.8095238095238095|0.19230769230769232|0.19230769230769232|105.0|1555.0|14.809523809523812|0.7809523809523811|0.5142857142857142|0.26666666666666666|0.2|0.25609756097560976|0.5304878048780488|0.5830062341260679|0.19047619047619047|0.7407407407407407|0.18095238095238092|0.2380952380952381|0.09569377990430622|0.9186602870813397|6873|NBA|2018-11-28|BRK|UTA|201819|2|Home|Away|22|10|12|22|8|14|0|0
132|124|1|-1|FT|48|55|99|0.5555555555555556|45|80|0.5625|10|19|0.5263157894736842|12|18|0.6666666666666666|12|43|55|30|18|5|8|24|44|93|0.4731182795698925|32|63|0.5079365079365079|12|30|0.4|24|33|0.7272727272727273|7|30|37|32|14|11|6|18|-8|256|114.0|1561.0|13.692982456140353|0.868421052631579|0.7017543859649122|0.1666666666666666|0.1578947368421052|0.18181818181818185|0.6060606060606061|0.6410256410256411|0.2857142857142857|0.86|0.1578947368421052|0.2105263157894736|112.0|1319.0|11.776785714285714|0.8303571428571429|0.5625|0.2678571428571428|0.2946428571428571|0.3548387096774194|0.5376344086021505|0.6183921803311391|0.14|0.7142857142857143|0.125|0.1607142857142857|-0.0707964601769911|1.1327433628318584|9713|NBA|2021-03-29|WAS|IND|202021|2|Home|Away|45|24|21|45|20|25|0|0
124|128|-1|1|FT|48|45|82|0.5487804878048781|35|53|0.660377358490566|10|29|0.3448275862068966|24|35|0.6857142857142857|8|33|41|25|19|12|5|22|44|86|0.5116279069767442|24|39|0.6153846153846154|20|47|0.425531914893617|20|21|0.9523809523809524|3|32|35|23|15|10|3|26|4|252|108.0|1320.0|12.22222222222222|0.7592592592592593|0.4907407407407407|0.2685185185185185|0.324074074074074|0.4268292682926829|0.6097560975609756|0.6911928651059086|0.2|0.9166666666666666|0.1759259259259259|0.2037037037037037|107.0|1560.0|14.57943925233645|0.8037383177570093|0.3644859813084112|0.4392523364485981|0.1962616822429906|0.2441860465116279|0.627906976744186|0.7062458618406532|0.0833333333333333|0.8|0.1401869158878504|0.2429906542056074|0.0372093023255813|1.172093023255814|10153|NBA|2021-06-06|PHI|ATL|202021|4|Home|Away|78|40|38|78|38|40|0|0
102|121|-1|1|FT|48|32|67|0.4776119402985074|19|32|0.59375|13|35|0.37142857142857133|25|34|0.7352941176470589|6|32|38|24|24|4|11|24|44|97|0.4536082474226804|31|65|0.476923076923077|13|32|0.40625|20|28|0.7142857142857143|15|28|43|21|7|10|4|25|19|223|111.0|1374.0|12.378378378378383|0.6036036036036037|0.2882882882882883|0.3153153153153153|0.3063063063063063|0.5074626865671642|0.5746268656716418|0.6847475832438238|0.17647058823529413|0.6808510638297872|0.21621621621621626|0.21621621621621626|111.0|1506.0|13.567567567567568|0.8738738738738738|0.5855855855855856|0.2882882882882883|0.25225225225225223|0.28865979381443296|0.5206185567010311|0.5864676231097324|0.3191489361702128|0.8235294117647058|0.06306306306306306|0.22522522522522526|0.17117117117117114|1.0045045045045045|8403|NBA|2020-01-04|BRK|TOR|201920|2|Home|Away|34|16|18|36|19|17|0|0
125|118|1|-1|FT|48|46|93|0.4946236559139785|36|61|0.5901639344262295|10|32|0.3125|23|33|0.696969696969697|13|27|40|27|11|10|5|18|49|88|0.5568181818181818|41|68|0.6029411764705882|8|20|0.4|12|15|0.8|7|34|41|26|15|4|4|24|-7|243|106.0|1604.0|15.132075471698114|0.8773584905660378|0.5754716981132075|0.3018867924528302|0.3113207547169811|0.3548387096774194|0.5483870967741935|0.623379214043487|0.2765957446808511|0.7941176470588235|0.1037735849056603|0.1698113207547169|106.0|1276.0|12.037735849056604|0.8301886792452831|0.6415094339622641|0.1886792452830188|0.1415094339622641|0.1704545454545454|0.6022727272727273|0.6462212486308873|0.2058823529411764|0.723404255319149|0.1415094339622641|0.2264150943396226|-0.0660377358490566|1.1462264150943395|10114|NBA|2021-05-23|PHI|WAS|202021|4|Home|Away|73|37|36|75|37|38|0|0
