uuid|season|g_type|date|team1|team2|year|month|day|t1_loc|t1_sea_g_played|t1_sea_g_played_h|t1_sea_g_played_a|t1_rest_day|t1_b2b|t2_loc|t2_sea_g_played|t2_sea_g_played_h|t2_sea_g_played_a|t2_rest_day|t2_b2b|league
7244|201819|2|2019-01-18|UTA|CLE|2019|1|5|Home|47|21|26|1|0|Away|46|22|24|1|0|NBA
5214|201617|4|2017-04-26|WAS|ATL|2017|4|3|Home|87|44|43|1|0|Away|87|43|44|1|0|NBA
7735|201819|2|2019-04-03|DEN|SAS|2019|4|3|Home|78|39|39|0|1|Away|79|40|39|0|1|NBA
11156|202122|2|2022-03-06|MIL|PHO|2022|3|7|Home|65|35|30|1|0|Away|64|35|29|1|0|NBA
10544|202122|2|2021-12-05|HOU|NOP|2021|12|7|Home|23|11|12|1|0|Away|26|11|15|1|0|NBA
3388|201516|2|2016-02-05|WAS|PHI|2016|2|5|Home|48|27|21|1|0|Away|50|23|27|1|0|NBA
9468|202021|2|2021-02-21|ORL|DET|2021|2|7|Home|31|16|15|1|0|Away|30|14|16|1|0|NBA
8801|201920|2|2020-03-04|MIN|CHI|2020|3|3|Home|61|30|31|0|1|Away|62|32|30|1|0|NBA
3225|201516|2|2016-01-15|CHI|DAL|2016|1|5|Home|39|23|16|0|1|Away|41|18|23|1|0|NBA
7019|201819|2|2018-12-18|BRK|LAL|2018|12|2|Home|32|17|15|1|0|Away|31|15|16|1|0|NBA
1619|201415|2|2014-12-07|NYK|POR|2014|12|7|Home|22|12|10|1|0|Away|20|12|8|2|0|NBA
4657|201617|2|2017-01-29|CHI|PHI|2017|1|7|Home|49|26|23|1|0|Away|46|26|20|1|0|NBA
6191|201718|2|2018-03-03|HOU|BOS|2018|3|6|Home|62|31|31|2|0|Away|64|34|30|2|0|NBA
9855|202021|2|2021-04-16|SAS|POR|2021|4|5|Home|54|30|24|1|0|Away|55|28|27|2|0|NBA
2735|201516|2|2015-11-09|SAC|SAS|2015|11|1|Home|8|6|2|1|0|Away|7|2|5|1|0|NBA
7014|201819|2|2018-12-17|MIN|SAC|2018|12|1|Home|30|16|14|1|0|Away|30|13|17|0|1|NBA
136|201314|2|2013-11-16|CHA|MIA|2013|11|6|Home|10|5|5|0|1|Away|10|6|4|0|1|NBA
10251|202122|2|2021-10-27|MIL|MIN|2021|10|3|Home|5|2|3|1|0|Away|4|3|1|1|0|NBA
10661|202122|2|2021-12-23|DAL|MIL|2021|12|4|Home|31|16|15|1|0|Away|34|16|18|0|1|NBA
9062|202021|2|2020-12-28|ATL|DET|2020|12|1|Home|3|1|2|1|0|Away|3|1|2|1|0|NBA
2118|201415|2|2015-02-19|LAC|SAS|2015|2|4|Home|55|29|26|3|0|Away|54|27|27|3|0|NBA
3649|201516|2|2016-03-17|UTA|PHO|2016|3|4|Home|68|35|33|2|0|Away|68|34|34|2|0|NBA
735|201314|2|2014-02-06|BRK|SAS|2014|2|4|Home|47|25|22|2|0|Away|50|26|24|0|1|NBA
11174|202122|2|2022-03-09|DAL|NYK|2022|3|3|Home|66|35|31|1|0|Away|66|32|34|1|0|NBA
1321|201415|2|2014-10-28|NOP|ORL|2014|10|2|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
5395|201718|2|2017-11-05|MIN|CHO|2017|11|7|Home|10|5|5|0|1|Away|10|5|5|1|0|NBA
5598|201718|2|2017-12-04|DAL|DEN|2017|12|1|Home|24|15|9|1|0|Away|23|12|11|1|0|NBA
5688|201718|2|2017-12-16|MIA|LAC|2017|12|6|Home|29|13|16|0|1|Away|28|13|15|0|1|NBA
1871|201415|2|2015-01-10|LAC|DAL|2015|1|6|Home|37|22|15|2|0|Away|38|19|19|2|0|NBA
3360|201516|2|2016-02-02|LAL|MIN|2016|2|2|Home|51|24|27|1|0|Away|50|25|25|1|0|NBA
2465|201415|2|2015-04-05|CLE|CHI|2015|4|7|Home|77|38|39|2|0|Away|77|39|38|1|0|NBA
2866|201516|2|2015-11-27|ORL|MIL|2015|11|5|Home|16|9|7|1|0|Away|16|8|8|1|0|NBA
1349|201415|2|2014-11-01|GSW|LAL|2014|11|6|Home|2|1|1|2|0|Away|4|2|2|0|1|NBA
6425|201718|2|2018-04-04|DET|PHI|2018|4|3|Home|78|39|39|2|0|Away|78|38|40|0|1|NBA
8347|201920|2|2019-12-27|CHO|OKC|2019|12|5|Home|34|17|17|3|0|Away|31|17|14|0|1|NBA
10832|202122|2|2022-01-15|OKC|CLE|2022|1|6|Home|42|22|20|1|0|Away|44|20|24|0|1|NBA
7177|201819|2|2019-01-09|HOU|MIL|2019|1|3|Home|40|20|20|1|0|Away|40|23|17|1|0|NBA
5917|201718|2|2018-01-17|TOR|DET|2018|1|3|Home|43|19|24|1|0|Away|43|19|24|1|0|NBA
1790|201415|2|2014-12-30|NOP|PHO|2014|12|2|Home|31|14|17|2|0|Away|33|14|19|1|0|NBA
4003|201617|2|2016-11-02|BRK|DET|2016|11|3|Home|5|3|2|1|0|Away|5|3|2|0|1|NBA
965|201314|2|2014-03-12|WAS|CHA|2014|3|3|Home|64|32|32|1|0|Away|65|32|33|1|0|NBA
6286|201718|2|2018-03-16|ORL|BOS|2018|3|5|Home|70|33|37|1|0|Away|69|36|33|1|0|NBA
5926|201718|2|2018-01-19|MEM|SAC|2018|1|5|Home|44|24|20|1|0|Away|45|21|24|1|0|NBA
1718|201415|2|2014-12-20|NYK|PHO|2014|12|6|Home|29|15|14|1|0|Away|28|13|15|2|0|NBA
1457|201415|2|2014-11-15|POR|BRK|2014|11|6|Home|10|7|3|2|0|Away|9|4|5|1|0|NBA
7708|201819|2|2019-03-30|LAC|CLE|2019|3|6|Home|77|37|40|1|0|Away|77|39|38|1|0|NBA
1768|201415|2|2014-12-27|MIL|ATL|2014|12|6|Home|31|13|18|0|1|Away|30|16|14|0|1|NBA
8135|201920|2|2019-11-27|GSW|CHI|2019|11|3|Home|19|9|10|1|0|Away|19|10|9|1|0|NBA
4684|201617|2|2017-02-01|OKC|CHI|2017|2|3|Home|50|23|27|0|1|Away|50|26|24|2|0|NBA
2672|201516|2|2015-11-01|LAL|DAL|2015|11|7|Home|3|2|1|1|0|Away|3|0|3|2|0|NBA
2140|201415|2|2015-02-22|IND|GSW|2015|2|7|Home|56|26|30|1|0|Away|53|26|27|1|0|NBA
1632|201415|2|2014-12-09|OKC|MIL|2014|12|2|Home|21|10|11|1|0|Away|23|10|13|1|0|NBA
3027|201516|2|2015-12-18|UTA|DEN|2015|12|5|Home|25|12|13|1|0|Away|26|12|14|2|0|NBA
8450|201920|2|2020-01-10|MEM|SAS|2020|1|5|Home|39|21|18|2|0|Away|37|20|17|1|0|NBA
721|201314|2|2014-02-04|MIN|LAL|2014|2|2|Home|48|23|25|2|0|Away|48|21|27|3|0|NBA
5728|201718|2|2017-12-22|GSW|LAL|2017|12|5|Home|32|15|17|1|0|Away|30|14|16|1|0|NBA
3464|201516|2|2016-02-22|CLE|DET|2016|2|1|Home|55|28|27|0|1|Away|57|27|30|0|1|NBA
5368|201718|2|2017-11-01|NYK|HOU|2017|11|3|Home|7|4|3|1|0|Away|9|3|6|1|0|NBA
3338|201516|2|2016-01-30|IND|DEN|2016|1|6|Home|47|22|25|1|0|Away|48|24|24|1|0|NBA
5025|201617|2|2017-03-24|ORL|DET|2017|3|5|Home|73|37|36|1|0|Away|73|37|36|1|0|NBA
2640|201516|2|2015-10-28|MIA|CHO|2015|10|3|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
5070|201617|2|2017-03-30|POR|HOU|2017|3|4|Home|75|36|39|1|0|Away|75|38|37|1|0|NBA
7447|201819|2|2019-02-22|ORL|CHI|2019|2|5|Home|60|32|28|3|0|Away|59|29|30|3|0|NBA
9337|202021|2|2021-02-04|ATL|UTA|2021|2|4|Home|22|12|10|0|1|Away|22|11|11|1|0|NBA
7721|201819|2|2019-04-01|DAL|PHI|2019|4|1|Home|77|38|39|0|1|Away|77|39|38|1|0|NBA
5084|201617|2|2017-04-01|LAC|LAL|2017|4|6|Home|78|38|40|1|0|Away|76|37|39|1|0|NBA
1907|201415|2|2015-01-16|DAL|DEN|2015|1|5|Home|41|20|21|1|0|Away|39|20|19|1|0|NBA
