uuid|season|g_type|date|team1|team2|year|month|day|t1_loc|t1_sea_g_played|t1_sea_g_played_h|t1_sea_g_played_a|t1_rest_day|t1_b2b|t2_loc|t2_sea_g_played|t2_sea_g_played_h|t2_sea_g_played_a|t2_rest_day|t2_b2b|league
4838|201617|2|2017-02-28|MEM|PHO|2017|2|2|Home|61|30|31|1|0|Away|60|28|32|1|0|NBA
6070|201718|2|2018-02-08|WAS|BOS|2018|2|4|Home|55|27|28|1|0|Away|56|29|27|1|0|NBA
7696|201819|2|2019-03-28|SAS|CLE|2019|3|4|Home|76|38|38|1|0|Away|76|39|37|1|0|NBA
9851|202021|2|2021-04-16|DET|OKC|2021|4|5|Home|56|26|30|1|0|Away|56|29|27|1|0|NBA
1327|201415|2|2014-10-29|MEM|MIN|2014|10|3|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
579|201314|2|2014-01-16|IND|NYK|2014|1|4|Home|38|21|17|1|0|Away|39|19|20|1|0|NBA
8212|201920|2|2019-12-07|PHI|CLE|2019|12|6|Home|23|11|12|1|0|Away|22|12|10|0|1|NBA
5116|201617|2|2017-04-05|MEM|OKC|2017|4|3|Home|79|38|41|0|1|Away|78|40|38|0|1|NBA
5896|201718|2|2018-01-15|CLE|GSW|2018|1|1|Home|43|20|23|2|0|Away|45|22|23|1|0|NBA
8276|201920|2|2019-12-16|MIL|DAL|2019|12|1|Home|28|15|13|1|0|Away|26|14|12|1|0|NBA
9306|202021|2|2021-01-31|DEN|UTA|2021|1|7|Home|20|10|10|1|0|Away|20|10|10|1|0|NBA
105|201314|2|2013-11-11|POR|DET|2013|11|1|Home|7|4|3|1|0|Away|6|4|2|2|0|NBA
5517|201718|2|2017-11-22|OKC|GSW|2017|11|3|Home|17|8|9|1|0|Away|18|8|10|2|0|NBA
9446|202021|2|2021-02-18|MIL|TOR|2021|2|4|Home|29|13|16|1|0|Away|29|12|17|1|0|NBA
4059|201617|2|2016-11-09|ORL|MIN|2016|11|3|Home|8|4|4|1|0|Away|7|2|5|0|1|NBA
6228|201718|2|2018-03-08|MIA|PHI|2018|3|4|Home|66|32|34|1|0|Away|64|30|34|1|0|NBA
696|201314|2|2014-02-01|DET|PHI|2014|2|6|Home|46|24|22|3|0|Away|48|24|24|0|1|NBA
6214|201718|2|2018-03-06|LAC|NOP|2018|3|2|Home|63|32|31|1|0|Away|63|29|34|1|0|NBA
4153|201617|2|2016-11-21|WAS|PHO|2016|11|1|Home|13|8|5|1|0|Away|15|5|10|1|0|NBA
3609|201516|2|2016-03-12|PHI|DET|2016|3|6|Home|66|33|33|0|1|Away|66|30|36|0|1|NBA
7772|201819|2|2019-04-07|NYK|WAS|2019|4|7|Home|80|40|40|1|0|Away|81|40|41|1|0|NBA
8398|201920|2|2020-01-03|LAL|NOP|2020|1|5|Home|35|17|18|1|0|Away|35|17|18|3|0|NBA
7489|201819|2|2019-02-28|DEN|UTA|2019|2|4|Home|61|32|29|1|0|Away|61|30|31|0|1|NBA
9234|202021|2|2021-01-21|UTA|NOP|2021|1|4|Home|15|6|9|1|0|Away|14|5|9|1|0|NBA
8956|201920|4|2020-08-21|BRK|TOR|2020|8|5|Home|75|37|38|1|0|Away|75|38|37|1|0|NBA
4955|201617|2|2017-03-15|MIA|NOP|2017|3|3|Home|68|33|35|2|0|Away|68|34|34|0|1|NBA
6692|201819|2|2018-11-03|ATL|MIA|2018|11|6|Home|9|4|5|1|0|Away|8|4|4|3|0|NBA
9766|202021|2|2021-04-05|TOR|WAS|2021|4|1|Home|50|23|27|2|0|Away|49|26|23|1|0|NBA
8794|201920|2|2020-03-03|SAC|WAS|2020|3|2|Home|61|29|32|1|0|Away|60|29|31|1|0|NBA
6232|201718|2|2018-03-09|DET|CHI|2018|3|5|Home|66|35|31|1|0|Away|65|33|32|1|0|NBA
5710|201718|2|2017-12-20|BOS|MIA|2017|12|3|Home|34|17|17|1|0|Away|31|13|18|1|0|NBA
8023|201920|2|2019-11-11|NOP|HOU|2019|11|1|Home|10|5|5|1|0|Away|10|4|6|1|0|NBA
7015|201819|2|2018-12-17|NYK|PHO|2018|12|1|Home|32|14|18|0|1|Away|31|16|15|1|0|NBA
9923|202021|2|2021-04-25|GSW|SAC|2021|4|7|Home|61|29|32|1|0|Away|60|30|30|3|0|NBA
7731|201819|2|2019-04-02|SAS|ATL|2019|4|2|Home|78|40|38|1|0|Away|78|39|39|1|0|NBA
8811|201920|2|2020-03-06|DAL|MEM|2020|3|5|Home|64|32|32|1|0|Away|63|31|32|1|0|NBA
10194|202122|2|2021-10-19|LAL|GSW|2021|10|2|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
10149|202021|4|2021-06-03|POR|DEN|2021|6|4|Home|78|39|39|1|0|Away|78|39|39|1|0|NBA
1921|201415|2|2015-01-17|CHO|IND|2015|1|6|Home|41|22|19|2|0|Away|42|19|23|0|1|NBA
6174|201718|2|2018-02-28|SAS|NOP|2018|2|3|Home|62|29|33|2|0|Away|61|29|32|1|0|NBA
11396|202122|2|2022-04-08|BRK|CLE|2022|4|5|Home|81|40|41|1|0|Away|81|40|41|2|0|NBA
803|201314|2|2014-02-19|MIN|IND|2014|2|3|Home|54|27|27|3|0|Away|54|29|25|0|1|NBA
10202|202122|2|2021-10-20|PHO|DEN|2021|10|3|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
3253|201516|2|2016-01-18|TOR|BRK|2016|1|1|Home|41|18|23|3|0|Away|42|22|20|1|0|NBA
6719|201819|2|2018-11-06|POR|MIL|2018|11|2|Home|11|7|4|1|0|Away|10|6|4|1|0|NBA
4775|201617|2|2017-02-13|UTA|LAC|2017|2|1|Home|56|30|26|1|0|Away|55|25|30|1|0|NBA
6458|201718|2|2018-04-08|TOR|ORL|2018|4|7|Home|80|41|39|1|0|Away|80|40|40|1|0|NBA
3785|201516|2|2016-04-05|DEN|OKC|2016|4|2|Home|79|39|40|2|0|Away|78|40|38|1|0|NBA
2132|201415|2|2015-02-20|WAS|CLE|2015|2|5|Home|55|29|26|3|0|Away|56|30|26|3|0|NBA
4347|201617|2|2016-12-17|DET|IND|2016|12|6|Home|29|13|16|0|1|Away|28|14|14|1|0|NBA
4883|201617|2|2017-03-06|DEN|SAC|2017|3|1|Home|63|32|31|1|0|Away|63|32|31|0|1|NBA
321|201314|2|2013-12-11|MIL|SAS|2013|12|3|Home|22|11|11|0|1|Away|21|10|11|0|1|NBA
1633|201415|2|2014-12-09|PHO|MIA|2014|12|2|Home|23|11|12|0|1|Away|21|10|11|1|0|NBA
8488|201920|2|2020-01-15|MIA|SAS|2020|1|3|Home|40|19|21|2|0|Away|39|20|19|2|0|NBA
8000|201920|2|2019-11-08|MIN|GSW|2019|11|5|Home|8|3|5|1|0|Away|9|5|4|1|0|NBA
281|201314|2|2013-12-06|CHA|PHI|2013|12|5|Home|20|11|9|2|0|Away|20|11|9|2|0|NBA
6755|201819|2|2018-11-11|NYK|ORL|2018|11|7|Home|14|7|7|0|1|Away|13|8|5|1|0|NBA
5779|201718|2|2017-12-29|MIA|BRK|2017|12|5|Home|35|17|18|2|0|Away|35|17|18|1|0|NBA
3465|201516|2|2016-02-22|LAC|PHO|2016|2|1|Home|56|28|28|1|0|Away|57|30|27|0|1|NBA
844|201314|2|2014-02-25|ATL|CHI|2014|2|2|Home|56|28|28|2|0|Away|56|26|30|1|0|NBA
5099|201617|2|2017-04-03|MIN|POR|2017|4|1|Home|76|40|36|1|0|Away|77|37|40|1|0|NBA
8550|201920|2|2020-01-24|DET|MEM|2020|1|5|Home|46|23|23|1|0|Away|45|25|20|1|0|NBA
4338|201617|2|2016-12-16|MIA|LAC|2016|12|5|Home|27|13|14|1|0|Away|27|13|14|1|0|NBA
1377|201415|2|2014-11-05|BRK|MIN|2014|11|3|Home|4|2|2|1|0|Away|4|2|2|3|0|NBA
8654|201920|2|2020-02-07|WAS|DAL|2020|2|5|Home|50|24|26|3|0|Away|52|27|25|1|0|NBA
6903|201819|2|2018-12-01|WAS|BRK|2018|12|6|Home|23|12|11|0|1|Away|24|11|13|0|1|NBA
9941|202021|2|2021-04-27|HOU|MIN|2021|4|2|Home|62|31|31|2|0|Away|63|30|33|0|1|NBA
399|201314|2|2013-12-21|ORL|SAC|2013|12|6|Home|27|13|14|2|0|Away|26|15|11|0|1|NBA
8078|201920|2|2019-11-19|MEM|GSW|2019|11|2|Home|14|9|5|1|0|Away|15|7|8|1|0|NBA
1953|201415|2|2015-01-21|PHO|POR|2015|1|3|Home|44|20|24|1|0|Away|43|23|20|1|0|NBA
10865|202122|2|2022-01-19|WAS|BRK|2022|1|3|Home|45|22|23|1|0|Away|44|23|21|1|0|NBA
3375|201516|2|2016-02-04|DET|NYK|2016|2|4|Home|51|24|27|0|1|Away|52|26|26|1|0|NBA
1593|201415|2|2014-12-04|NYK|CLE|2014|12|4|Home|20|11|9|1|0|Away|17|10|7|1|0|NBA
2592|201415|4|2015-05-03|GSW|MEM|2015|5|7|Home|87|44|43|3|0|Away|88|44|44|3|0|NBA
9202|202021|2|2021-01-16|MEM|PHI|2021|1|6|Home|12|7|5|2|0|Away|14|8|6|1|0|NBA
10068|202021|2|2021-05-13|IND|MIL|2021|5|4|Home|70|35|35|1|0|Away|70|35|35|1|0|NBA
7551|201819|2|2019-03-08|NOP|TOR|2019|3|5|Home|68|32|36|1|0|Away|66|34|32|2|0|NBA
9158|202021|2|2021-01-09|MIN|SAS|2021|1|6|Home|9|4|5|1|0|Away|9|4|5|1|0|NBA
6476|201718|2|2018-04-11|CLE|NYK|2018|4|3|Home|82|41|41|1|0|Away|82|41|41|1|0|NBA
290|201314|2|2013-12-07|CLE|LAC|2013|12|6|Home|20|9|11|0|1|Away|21|10|11|1|0|NBA
4112|201617|2|2016-11-16|PHI|WAS|2016|11|3|Home|11|7|4|1|0|Away|10|5|5|3|0|NBA
425|201314|2|2013-12-26|POR|LAC|2013|12|4|Home|29|14|15|3|0|Away|31|14|17|0|1|NBA
1755|201415|2|2014-12-26|DET|IND|2014|12|5|Home|29|16|13|3|0|Away|30|14|16|2|0|NBA
4239|201617|2|2016-12-03|MEM|LAL|2016|12|6|Home|21|11|10|1|0|Away|22|10|12|0|1|NBA
8636|201920|2|2020-02-05|DET|PHO|2020|2|3|Home|53|28|25|1|0|Away|51|26|25|1|0|NBA
8393|201920|2|2020-01-02|MIN|GSW|2020|1|4|Home|34|16|18|0|1|Away|36|17|19|1|0|NBA
4158|201617|2|2016-11-23|BRK|BOS|2016|11|3|Home|14|7|7|2|0|Away|15|6|9|1|0|NBA
7330|201819|2|2019-01-30|WAS|IND|2019|1|3|Home|51|25|26|0|1|Away|50|25|25|1|0|NBA
8848|201920|2|2020-03-11|DAL|DEN|2020|3|3|Home|67|34|33|0|1|Away|65|33|32|1|0|NBA
6372|201718|2|2018-03-28|LAL|DAL|2018|3|3|Home|74|35|39|1|0|Away|75|38|37|0|1|NBA
10932|202122|2|2022-01-29|MEM|WAS|2022|1|6|Home|52|28|24|0|1|Away|49|25|24|3|0|NBA
907|201314|2|2014-03-05|MIL|SAC|2014|3|3|Home|60|32|28|1|0|Away|61|32|29|1|0|NBA
4734|201617|2|2017-02-08|MIL|MIA|2017|2|3|Home|51|26|25|3|0|Away|53|26|27|1|0|NBA
7484|201819|2|2019-02-27|MEM|CHI|2019|2|3|Home|63|32|31|1|0|Away|62|31|31|1|0|NBA
2880|201516|2|2015-11-29|MEM|PHI|2015|11|7|Home|18|9|9|1|0|Away|18|7|11|1|0|NBA
4275|201617|2|2016-12-07|PHO|IND|2016|12|3|Home|22|9|13|0|1|Away|22|12|10|1|0|NBA
3168|201516|2|2016-01-07|PHI|ATL|2016|1|4|Home|38|15|23|2|0|Away|37|19|18|1|0|NBA
7998|201920|2|2019-11-08|IND|DET|2019|11|5|Home|9|5|4|1|0|Away|10|5|5|1|0|NBA
5251|201617|4|2017-06-01|GSW|CLE|2017|6|4|Home|95|48|47|3|0|Away|96|47|49|3|0|NBA
7862|201819|4|2019-05-12|DEN|POR|2019|5|7|Home|96|49|47|2|0|Away|94|47|47|2|0|NBA
2411|201415|2|2015-03-29|BRK|LAL|2015|3|7|Home|72|34|38|1|0|Away|72|35|37|1|0|NBA
7574|201819|2|2019-03-12|CHI|LAL|2019|3|2|Home|69|35|34|1|0|Away|67|34|33|2|0|NBA
2164|201415|2|2015-02-25|MIL|PHI|2015|2|3|Home|57|28|29|1|0|Away|57|27|30|1|0|NBA
2763|201516|2|2015-11-13|NYK|CLE|2015|11|5|Home|10|5|5|1|0|Away|9|5|4|2|0|NBA
902|201314|2|2014-03-05|BOS|GSW|2014|3|3|Home|61|31|30|3|0|Away|62|28|34|0|1|NBA
9658|202021|2|2021-03-23|MIA|PHO|2021|3|2|Home|44|23|21|1|0|Away|42|23|19|1|0|NBA
6354|201718|2|2018-03-25|OKC|POR|2018|3|7|Home|75|38|37|1|0|Away|73|38|35|1|0|NBA
7281|201819|2|2019-01-23|PHI|SAS|2019|1|3|Home|49|26|23|1|0|Away|49|25|24|2|0|NBA
6327|201718|2|2018-03-22|CHO|MEM|2018|3|4|Home|73|37|36|0|1|Away|72|37|35|0|1|NBA
4694|201617|2|2017-02-03|DEN|MIL|2017|2|5|Home|49|25|24|1|0|Away|49|25|24|1|0|NBA
7682|201819|2|2019-03-26|NOP|ATL|2019|3|2|Home|76|37|39|1|0|Away|75|37|38|2|0|NBA
3514|201516|2|2016-02-29|BOS|UTA|2016|2|1|Home|61|30|31|1|0|Away|59|31|28|1|0|NBA
1624|201415|2|2014-12-08|SAC|UTA|2014|12|1|Home|21|11|10|1|0|Away|21|11|10|2|0|NBA
3320|201516|2|2016-01-27|UTA|CHO|2016|1|3|Home|45|23|22|1|0|Away|46|24|22|1|0|NBA
9865|202021|2|2021-04-18|ATL|IND|2021|4|7|Home|57|26|31|2|0|Away|56|25|31|1|0|NBA
187|201314|2|2013-11-23|ATL|BOS|2013|11|6|Home|14|6|8|0|1|Away|15|6|9|0|1|NBA
4810|201617|2|2017-02-24|PHI|WAS|2017|2|5|Home|57|30|27|3|0|Away|56|31|25|3|0|NBA
2204|201415|2|2015-03-02|MIA|PHO|2015|3|1|Home|59|28|31|1|0|Away|61|30|31|1|0|NBA
934|201314|2|2014-03-09|CHI|MIA|2014|3|7|Home|63|30|33|1|0|Away|60|28|32|2|0|NBA
11102|202122|2|2022-02-27|HOU|LAC|2022|2|7|Home|60|27|33|1|0|Away|63|31|32|1|0|NBA
1881|201415|2|2015-01-11|SAC|CLE|2015|1|7|Home|37|21|16|1|0|Away|38|20|18|1|0|NBA
1039|201314|2|2014-03-23|DEN|WAS|2014|3|7|Home|70|35|35|1|0|Away|70|33|37|1|0|NBA
2989|201516|2|2015-12-14|CHI|PHI|2015|12|1|Home|22|13|9|1|0|Away|26|11|15|0|1|NBA
8532|201920|2|2020-01-21|DAL|LAC|2020|1|2|Home|43|24|19|3|0|Away|44|23|21|2|0|NBA
3528|201516|2|2016-03-02|DEN|LAL|2016|3|3|Home|61|30|31|1|0|Away|62|27|35|0|1|NBA
5035|201617|2|2017-03-26|DEN|NOP|2017|3|7|Home|73|39|34|1|0|Away|73|37|36|1|0|NBA
5297|201718|2|2017-10-23|DEN|WAS|2017|10|1|Home|3|2|1|1|0|Away|3|2|1|2|0|NBA
560|201314|2|2014-01-13|UTA|DEN|2014|1|1|Home|39|19|20|2|0|Away|37|19|18|1|0|NBA
10586|202122|2|2021-12-11|MEM|HOU|2021|12|6|Home|27|16|11|1|0|Away|26|13|13|0|1|NBA
7538|201819|2|2019-03-06|NOP|UTA|2019|3|3|Home|67|31|36|1|0|Away|64|32|32|1|0|NBA
9013|201920|4|2020-09-24|DEN|LAL|2020|9|4|Home|91|46|45|1|0|Away|85|43|42|1|0|NBA
10739|202122|2|2022-01-03|MIL|DET|2022|1|1|Home|39|19|20|1|0|Away|35|17|18|1|0|NBA
5107|201617|2|2017-04-04|SAC|DAL|2017|4|2|Home|78|39|39|2|0|Away|77|39|38|1|0|NBA
2047|201415|2|2015-02-03|SAC|GSW|2015|2|2|Home|47|26|21|2|0|Away|46|24|22|2|0|NBA
6944|201819|2|2018-12-07|SAS|LAL|2018|12|5|Home|26|12|14|1|0|Away|25|14|11|1|0|NBA
3280|201516|2|2016-01-22|LAL|SAS|2016|1|5|Home|45|20|25|1|0|Away|44|24|20|0|1|NBA
146|201314|2|2013-11-16|WAS|CLE|2013|11|6|Home|9|3|6|2|0|Away|11|4|7|0|1|NBA
10699|202122|2|2021-12-28|TOR|PHI|2021|12|2|Home|31|17|14|1|0|Away|34|14|20|1|0|NBA
10554|202122|2|2021-12-06|PHO|SAS|2021|12|1|Home|24|13|11|2|0|Away|22|10|12|1|0|NBA
1156|201314|2|2014-04-08|ATL|DET|2014|4|2|Home|77|38|39|1|0|Away|78|40|38|2|0|NBA
9540|202021|2|2021-03-03|MIN|CHO|2021|3|3|Home|36|17|19|2|0|Away|35|17|18|1|0|NBA
1714|201415|2|2014-12-20|DEN|IND|2014|12|6|Home|27|14|13|0|1|Away|27|13|14|2|0|NBA
77|201314|2|2013-11-08|MIN|DAL|2013|11|5|Home|6|4|2|1|0|Away|6|3|3|1|0|NBA
4298|201617|2|2016-12-10|SAS|BRK|2016|12|6|Home|24|10|14|1|0|Away|22|12|10|2|0|NBA
9162|202021|2|2021-01-10|BRK|OKC|2021|1|7|Home|11|8|3|1|0|Away|9|3|6|1|0|NBA
2777|201516|2|2015-11-15|LAL|DET|2015|11|7|Home|10|4|6|1|0|Away|10|3|7|0|1|NBA
6075|201718|2|2018-02-09|HOU|DEN|2018|2|5|Home|54|27|27|1|0|Away|55|29|26|3|0|NBA
63|201314|2|2013-11-06|MEM|NOP|2013|11|3|Home|5|3|2|1|0|Away|5|3|2|0|1|NBA
2614|201415|4|2015-05-15|WAS|ATL|2015|5|5|Home|92|46|46|1|0|Away|94|47|47|1|0|NBA
9185|202021|2|2021-01-13|MIN|MEM|2021|1|3|Home|11|6|5|2|0|Away|11|6|5|1|0|NBA
4860|201617|2|2017-03-03|ORL|MIA|2017|3|5|Home|62|31|31|1|0|Away|62|29|33|1|0|NBA
7051|201819|2|2018-12-22|UTA|OKC|2018|12|6|Home|34|13|21|0|1|Away|31|15|16|2|0|NBA
11369|202122|2|2022-04-03|SAS|POR|2022|4|7|Home|78|40|38|1|0|Away|78|40|38|1|0|NBA
7466|201819|2|2019-02-25|CHO|GSW|2019|2|1|Home|60|31|29|1|0|Away|60|31|29|1|0|NBA
2740|201516|2|2015-11-10|NOP|DAL|2015|11|2|Home|7|4|3|2|0|Away|7|3|4|2|0|NBA
3799|201516|2|2016-04-06|NYK|CHO|2016|4|3|Home|79|40|39|2|0|Away|78|39|39|0|1|NBA
1890|201415|2|2015-01-13|SAC|DAL|2015|1|2|Home|38|22|16|1|0|Away|39|19|20|2|0|NBA
5553|201718|2|2017-11-28|CHI|PHO|2017|11|2|Home|19|8|11|1|0|Away|22|13|9|1|0|NBA
5738|201718|2|2017-12-23|GSW|DEN|2017|12|6|Home|33|16|17|0|1|Away|33|14|19|0|1|NBA
1962|201415|2|2015-01-23|DAL|CHI|2015|1|5|Home|44|21|23|1|0|Away|45|23|22|0|1|NBA
6381|201718|2|2018-03-29|MIA|CHI|2018|3|4|Home|76|37|39|1|0|Away|75|37|38|1|0|NBA
7830|201819|4|2019-04-23|DEN|SAS|2019|4|2|Home|87|44|43|2|0|Away|87|43|44|2|0|NBA
1138|201314|2|2014-04-04|POR|PHO|2014|4|5|Home|77|37|40|2|0|Away|76|39|37|1|0|NBA
4423|201617|2|2016-12-28|DEN|MIN|2016|12|3|Home|32|15|17|1|0|Away|32|16|16|1|0|NBA
4829|201617|2|2017-02-27|CLE|MIL|2017|2|1|Home|58|32|26|1|0|Away|58|30|28|0|1|NBA
10711|202122|2|2021-12-31|BOS|PHO|2021|12|5|Home|36|17|19|1|0|Away|35|20|15|1|0|NBA
5805|201718|2|2018-01-02|LAC|MEM|2018|1|2|Home|36|17|19|1|0|Away|38|19|19|1|0|NBA
812|201314|2|2014-02-20|OKC|MIA|2014|2|4|Home|56|27|29|3|0|Away|53|24|29|1|0|NBA
5300|201718|2|2017-10-23|MIA|ATL|2017|10|1|Home|3|2|1|1|0|Away|4|0|4|0|1|NBA
6016|201718|2|2018-02-01|DEN|OKC|2018|2|4|Home|52|27|25|1|0|Away|52|26|26|1|0|NBA
7155|201819|2|2019-01-06|OKC|WAS|2019|1|7|Home|39|18|21|1|0|Away|40|18|22|1|0|NBA
4595|201617|2|2017-01-21|ATL|PHI|2017|1|6|Home|44|21|23|0|1|Away|42|24|18|0|1|NBA
10702|202122|2|2021-12-29|DET|NYK|2021|12|3|Home|33|16|17|2|0|Away|35|18|17|0|1|NBA
9581|202021|2|2021-03-13|OKC|NYK|2021|3|6|Home|38|19|19|1|0|Away|39|18|21|1|0|NBA
10793|202122|2|2022-01-10|NYK|SAS|2022|1|1|Home|41|21|20|1|0|Away|40|17|23|0|1|NBA
10658|202122|2|2021-12-22|MIL|HOU|2021|12|3|Home|33|16|17|3|0|Away|32|14|18|1|0|NBA
8820|201920|2|2020-03-07|DET|UTA|2020|3|6|Home|64|33|31|2|0|Away|63|30|33|0|1|NBA
371|201314|2|2013-12-18|DAL|MEM|2013|12|3|Home|25|13|12|3|0|Away|25|15|10|0|1|NBA
2097|201415|2|2015-02-09|NOP|UTA|2015|2|1|Home|52|26|26|1|0|Away|52|25|27|1|0|NBA
10568|202122|2|2021-12-08|MIN|UTA|2021|12|3|Home|25|15|10|1|0|Away|24|13|11|2|0|NBA
8929|201920|2|2020-08-13|BRK|POR|2020|8|4|Home|72|36|36|1|0|Away|74|36|38|1|0|NBA
1476|201415|2|2014-11-18|SAC|NOP|2014|11|2|Home|11|5|6|2|0|Away|10|5|5|0|1|NBA
7358|201819|2|2019-02-04|DET|DEN|2019|2|1|Home|52|28|24|1|0|Away|53|27|26|1|0|NBA
1098|201314|2|2014-03-30|POR|MEM|2014|3|7|Home|75|36|39|1|0|Away|73|37|36|1|0|NBA
3681|201516|2|2016-03-21|PHO|MEM|2016|3|1|Home|70|35|35|2|0|Away|71|36|35|1|0|NBA
2263|201415|2|2015-03-09|PHO|GSW|2015|3|1|Home|65|31|34|1|0|Away|62|29|33|0|1|NBA
1246|201314|4|2014-04-23|SAS|DAL|2014|4|3|Home|84|43|41|2|0|Away|84|41|43|2|0|NBA
650|201314|2|2014-01-25|POR|MIN|2014|1|6|Home|44|22|22|1|0|Away|43|20|23|0|1|NBA
9027|202021|2|2020-12-23|CLE|CHO|2020|12|3|Home|1|1|0|-1|-1|Away|1|0|1|-1|-1|NBA
11148|202122|2|2022-03-05|MEM|ORL|2022|3|6|Home|65|32|33|1|0|Away|65|29|36|0|1|NBA
7835|201819|4|2019-04-24|HOU|UTA|2019|4|3|Home|87|44|43|1|0|Away|87|43|44|1|0|NBA
7718|201819|2|2019-03-31|SAS|SAC|2019|3|7|Home|77|39|38|2|0|Away|77|38|39|0|1|NBA
7529|201819|2|2019-03-05|MIN|OKC|2019|3|2|Home|64|31|33|1|0|Away|64|31|33|1|0|NBA
4405|201617|2|2016-12-25|SAS|CHI|2016|12|7|Home|31|13|18|1|0|Away|30|14|16|1|0|NBA
808|201314|2|2014-02-19|TOR|CHI|2014|2|3|Home|54|25|29|0|1|Away|53|25|28|3|0|NBA
501|201314|2|2014-01-05|MIA|TOR|2014|1|7|Home|34|18|16|0|1|Away|32|14|18|1|0|NBA
8019|201920|2|2019-11-11|BOS|DAL|2019|11|1|Home|9|4|5|1|0|Away|10|5|5|1|0|NBA
353|201314|2|2013-12-15|PHO|GSW|2013|12|7|Home|23|11|12|1|0|Away|25|10|15|1|0|NBA
3613|201516|2|2016-03-13|ATL|IND|2016|3|7|Home|67|33|34|0|1|Away|66|30|36|0|1|NBA
6868|201819|2|2018-11-27|DEN|LAL|2018|11|2|Home|21|12|9|2|0|Away|20|10|10|1|0|NBA
1296|201314|4|2014-05-12|POR|SAS|2014|5|1|Home|92|46|46|1|0|Away|93|47|46|1|0|NBA
9856|202021|2|2021-04-16|TOR|ORL|2021|4|5|Home|57|28|29|1|0|Away|56|29|27|1|0|NBA
457|201314|2|2013-12-30|NOP|POR|2013|12|1|Home|29|14|15|1|0|Away|31|15|16|1|0|NBA
5148|201617|2|2017-04-09|SAC|HOU|2017|4|7|Home|80|40|40|1|0|Away|80|40|40|1|0|NBA
9126|202021|2|2021-01-05|MEM|LAL|2021|1|2|Home|7|4|3|1|0|Away|8|4|4|1|0|NBA
36|201314|2|2013-11-02|MIL|TOR|2013|11|6|Home|3|1|2|0|1|Away|3|1|2|0|1|NBA
5341|201718|2|2017-10-29|BRK|DEN|2017|10|7|Home|7|4|3|1|0|Away|6|2|4|1|0|NBA
10937|202122|2|2022-01-30|CHI|POR|2022|1|7|Home|49|24|25|1|0|Away|50|27|23|1|0|NBA
7312|201819|2|2019-01-28|CHO|NYK|2019|1|1|Home|49|25|24|2|0|Away|49|21|28|0|1|NBA
1025|201314|2|2014-03-21|MIA|MEM|2014|3|5|Home|67|33|34|1|0|Away|68|35|33|1|0|NBA
3843|201516|2|2016-04-12|IND|NYK|2016|4|2|Home|81|41|40|1|0|Away|82|41|41|1|0|NBA
7060|201819|2|2018-12-23|OKC|MIN|2018|12|7|Home|32|16|16|0|1|Away|33|17|16|1|0|NBA
9199|202021|2|2021-01-15|SAC|LAC|2021|1|5|Home|13|9|4|1|0|Away|13|6|7|1|0|NBA
7218|201819|2|2019-01-15|ATL|OKC|2019|1|2|Home|44|19|25|1|0|Away|43|20|23|2|0|NBA
3410|201516|2|2016-02-08|MIN|NOP|2016|2|1|Home|53|27|26|1|0|Away|51|25|26|1|0|NBA
10333|202122|2|2021-11-07|LAC|CHO|2021|11|7|Home|9|5|4|1|0|Away|11|4|7|1|0|NBA
6377|201718|2|2018-03-28|PHO|LAC|2018|3|3|Home|76|38|38|1|0|Away|75|36|39|0|1|NBA
1458|201415|2|2014-11-15|SAC|SAS|2014|11|6|Home|10|4|6|1|0|Away|9|3|6|0|1|NBA
637|201314|2|2014-01-24|DET|NOP|2014|1|5|Home|43|22|21|1|0|Away|42|20|22|2|0|NBA
6309|201718|2|2018-03-19|PHI|CHO|2018|3|1|Home|69|33|36|2|0|Away|71|36|35|1|0|NBA
1868|201415|2|2015-01-10|CHI|MIL|2015|1|6|Home|38|19|19|0|1|Away|39|16|23|0|1|NBA
1291|201314|4|2014-05-10|BRK|MIA|2014|5|6|Home|92|45|47|1|0|Away|89|45|44|1|0|NBA
4252|201617|2|2016-12-05|DAL|CHO|2016|12|1|Home|20|9|11|1|0|Away|21|12|9|1|0|NBA
4365|201617|2|2016-12-20|HOU|SAS|2016|12|2|Home|29|13|16|2|0|Away|28|12|16|1|0|NBA
4356|201617|2|2016-12-18|SAS|NOP|2016|12|7|Home|27|12|15|2|0|Away|29|15|14|1|0|NBA
5742|201718|2|2017-12-23|MIA|NOP|2017|12|6|Home|33|15|18|0|1|Away|33|15|18|0|1|NBA
2407|201415|2|2015-03-28|MIL|GSW|2015|3|6|Home|73|36|37|1|0|Away|73|36|37|0|1|NBA
4095|201617|2|2016-11-14|NOP|BOS|2016|11|1|Home|11|6|5|1|0|Away|10|4|6|1|0|NBA
1002|201314|2|2014-03-18|CLE|MIA|2014|3|2|Home|68|33|35|1|0|Away|65|32|33|1|0|NBA
10469|202122|2|2021-11-24|OKC|UTA|2021|11|3|Home|18|9|9|1|0|Away|18|9|9|1|0|NBA
11003|202122|2|2022-02-08|BRK|BOS|2022|2|2|Home|54|26|28|1|0|Away|56|28|28|1|0|NBA
7380|201819|2|2019-02-07|IND|LAC|2019|2|4|Home|55|27|28|1|0|Away|56|27|29|1|0|NBA
